period,nt_new,aa_new,pct_nonsyn,tier
Dec-19,7,4,,>= 0.01%
Jan-20,383,192,0.501305483028721,>= 0.01%
Feb-20,643,339,0.527216174183515,>= 0.01%
Mar-20,5086,2925,0.575108139992135,>= 0.01%
Apr-20,1779,979,0.550309162450815,>= 0.01%
May-20,623,317,0.508828250401284,>= 0.01%
Jun-20,434,226,0.52073732718894,>= 0.01%
Jul-20 to Dec-20,1053,571,0.542260208926876,>= 0.01%
Jan-21 to Jun-21,120,84,0.7,>= 0.01%
Jul-21 to Dec-21,6,8,,>= 0.01%
Jan-24 to Jun-24,1,1,,>= 0.01%
Jan-22 to Jun-22,0,3,,>= 0.01%
Jul-22 to Dec-22,0,2,,>= 0.01%
Jul-23 to Dec-23,0,1,,>= 0.01%
Jul-24 to Dec-24,0,1,,>= 0.01%
Dec-19,4,3,,>= 0.1%
Jan-20,172,94,0.546511627906977,>= 0.1%
Feb-20,263,119,0.452471482889734,>= 0.1%
Mar-20,1137,618,0.54353562005277,>= 0.1%
Apr-20,140,89,0.635714285714286,>= 0.1%
May-20,43,23,0.534883720930233,>= 0.1%
Jun-20,33,21,0.636363636363636,>= 0.1%
Jul-20 to Dec-20,98,65,0.663265306122449,>= 0.1%
Jan-21 to Jun-21,19,17,,>= 0.1%
Jul-21 to Dec-21,2,2,,>= 0.1%
Jul-22 to Dec-22,0,2,,>= 0.1%
Jul-23 to Dec-23,0,1,,>= 0.1%
Dec-19,2,2,,>= 1%
Jan-20,37,25,0.675675675675676,>= 1%
Feb-20,37,20,0.540540540540541,>= 1%
Mar-20,105,66,0.628571428571429,>= 1%
Apr-20,24,19,0.791666666666667,>= 1%
May-20,2,1,,>= 1%
Jun-20,7,7,,>= 1%
Jul-20 to Dec-20,27,21,0.777777777777778,>= 1%
Jan-21 to Jun-21,4,4,,>= 1%
Jul-21 to Dec-21,1,1,,>= 1%
